user_id,English,Turkish,French,Other,German,Japanese,Spanish,Korean,Arabic,Russian,Lehçe,Azerbaijani,Italian,Kürtçe,Chinese,Bulgarian,Persian,Urdu,Dutch
8,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
